,movie_code,audience,recorded_at,movie_name_ko,movie_name_en,movie_name_og,prdt_year,genres,directors,watch_grade_nm,actor1,actor2,actor3,thumb_url,link_url,user_rating
20,20182082,87501,20181216,부탁 하나만 들어줘,A Simple Favor,,2018,스릴러,폴 페이그,청소년관람불가,블레이크 라이블리,안나 켄드릭,헨리 골딩,https://ssl.pstatic.net/imgmovie/mdi/mit110/1714/171452_P19_174244.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171452,7.87
21,20178825,262070,20181216,모털 엔진,Mortal Engines,,2018,액션,크리스찬 리버스,12세이상관람가,헤라 힐마,로버트 시한,휴고 위빙,https://ssl.pstatic.net/imgmovie/mdi/mit110/1564/156496_P24_153246.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156496,6.39
22,20183745,180709,20181216,런닝맨 : 풀룰루의 역습,Running Man,,2018,애니메이션,윤준상,전체관람가,김서영,권창욱,엄상현,https://ssl.pstatic.net/imgmovie/mdi/mit110/1803/180384_P14_152246.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180384,7.75
23,20177538,5270621,20181216,완벽한 타인,Intimate Strangers,,2018,드라마,이재규,15세이상관람가,유해진,조진웅,이서진,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167638_P71_133542.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167638,8.66
24,20184481,1567264,20181209,성난황소,Unstoppable,,2018,범죄,김민호,15세이상관람가,마동석,송지효,김성오,https://ssl.pstatic.net/imgmovie/mdi/mit110/1748/174835_P26_105639.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174835,7.6
25,20181905,276658,20181209,후드,Robin Hood,,2018,어드벤처,오토 바서스트,12세이상관람가,태런 에저튼,제이미 폭스,벤 멘델슨,https://ssl.pstatic.net/imgmovie/mdi/mit110/1442/144266_P15_111933.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144266,7.16
26,20176814,2403686,20181209,신비한 동물들과 그린델왈드의 범죄,Fantastic Beasts: The Crimes of Grindelwald,FANTASTIC BEASTS THE CRIMES OF GRINDELWALD,2018,판타지,데이빗 예이츠,12세이상관람가,에디 레드메인,캐서린 워터스턴,앨리슨 수돌,https://ssl.pstatic.net/imgmovie/mdi/mit110/1542/154255_P24_095824.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154255,6.29
27,20183073,78439,20181202,베일리 어게인,A Dog's Purpose,,2017,어드벤처,라세 할스트롬,전체관람가,조시 게드,데니스 퀘이드,브릿 로버트슨,https://ssl.pstatic.net/imgmovie/mdi/mit110/1449/144906_P15_103017.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144906,9.53
28,20181171,229837,20181202,바울,"Paul, Apostle Of Christ",,2018,드라마,앤드류 하얏트,15세이상관람가,제임스 폴크너,제임스 카비젤,,https://ssl.pstatic.net/imgmovie/mdi/mit110/1736/173692_P12_102159.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=173692,9.17
29,20183007,25172,20181202,거미줄에 걸린 소녀,THE GIRL IN THE SPIDER’S WEB,,2018,액션,페드 알바레즈,15세이상관람가,클레어 포이,실비아 획스,스베리르 구드나손,https://ssl.pstatic.net/imgmovie/mdi/mit110/1618/161868_P24_151256.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=161868,8.55
30,20182966,20419,20181202,투 프렌즈,TWO TAILS,,2018,애니메이션,빅터 아즈에프,전체관람가,,,,https://ssl.pstatic.net/imgmovie/mdi/mit110/1791/179138_P01_151818.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179138,4.52
31,20183050,298402,20181125,번 더 스테이지: 더 무비,Burn the Stage: the Movie,,2018,기타,박준수,전체관람가,김남준,김석진,민윤기,https://ssl.pstatic.net/imgmovie/mdi/mit110/1763/176354_P13_150227.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=176354,9.36
32,20182935,71407,20181125,출국,Unfinished,,2018,드라마,노규엽,15세이상관람가,이범수,연우진,박혁권,https://ssl.pstatic.net/imgmovie/mdi/mit110/1791/179139_P14_100455.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179139,8.79
33,20182669,24325,20181125,툴리,TULLY,,2018,드라마,제이슨 라이트맨,15세이상관람가,샤를리즈 테론,맥켄지 데이비스,마크 듀플라스,https://ssl.pstatic.net/imgmovie/mdi/mit110/1546/154653_P12_102646.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154653,8.8
34,20186822,48910,20181125,너의 췌장을 먹고 싶어,I want to eat your pancreas,君の膵臓をたべたい,2018,애니메이션,우시지마 신이치로,12세이상관람가,타카스기 마히로,린,후지이 유키요,https://ssl.pstatic.net/imgmovie/mdi/mit110/1753/175318_P15_105507.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=175318,8.31
35,20170513,445625,20181118,동네사람들,,,2018,액션,임진순,15세이상관람가,마동석,김새론,이상엽,https://ssl.pstatic.net/imgmovie/mdi/mit110/1666/166610_P58_154049.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=166610,5.52
36,20189869,15745,20181118,해피 투게더,Happy Together,,2018,드라마,김정환,12세이상관람가,박성웅,송새벽,최로운,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164147_P46_165808.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164147,7.7
37,20174981,1588443,20181111,창궐,Rampant,,2018,사극,김성훈,15세이상관람가,현빈,장동건,조우진,https://ssl.pstatic.net/imgmovie/mdi/mit110/1604/160487_P48_113750.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=160487,5.13
38,20010291,259733,20181111,해리포터와 마법사의 돌,Harry Potter And The Socrerers Stone,,2001,가족,크리스 콜럼버스,전체관람가,다니엘 래드클리프,엠마 왓슨,루퍼트 그린트,https://ssl.pstatic.net/imgmovie/mdi/mit110/0306/30688_P28_142632.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=30688,9.23
39,20179006,55997,20181111,여곡성,The Wrath,,2018,공포(호러),유영선,15세이상관람가,홍예리,서영희,손나은,https://ssl.pstatic.net/imgmovie/mdi/mit110/1717/171750_P05_173050.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171750,4.31
40,20181404,211233,20181111,벽 속에 숨은 마법시계,The house with a clock in its walls,,2018,판타지,일라이 로스,전체관람가,잭 블랙,케이트 블란쳇,오웬 바카로,https://ssl.pstatic.net/imgmovie/mdi/mit110/1641/164155_P03_122329.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164155,6.15
41,20180523,458917,20181111,스타 이즈 본,A Star Is Born,,2018,드라마,브래들리 쿠퍼,15세이상관람가,브래들리 쿠퍼,레이디 가가,샘 엘리엇,https://ssl.pstatic.net/imgmovie/mdi/mit110/1680/168050_P19_100458.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168050,9.15
42,20182693,21400,20181111,구스범스: 몬스터의 역습,Goosebumps 2: Haunted Halloween,,2018,판타지,아리 산델,12세이상관람가,잭 블랙,켄 정,,https://ssl.pstatic.net/imgmovie/mdi/mit110/1728/172819_P01_163303.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=172819,7.5
